UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,29,29,8,7.0
110714,36,36,2,2.0
110714,37,37,5,4.0
110714,39,39,4,4.0
110714,40,40,2,2.0
110714,41,41,1,0.0
110714,42,42,3,3.0
110714,44,44,1,1.0
110714,45,45,10,9.0
110714,47,47,148,139.0
110714,48,48,5,3.0
110714,51,51,8,7.0
110714,53,53,2,2.0
110714,54,54,2,2.0
110714,55,55,2,2.0
110714,58,999,576,415.0
110714,90,90,17,1.0
110714,99,99,576,415.0
110714,5,5,345,341.0
110714,5,5,5,5.0
110714,5,5,3,3.0
110714,6,6,26,26.0
110714,8,8,3,3.0
110714,10,10,1,1.0
110714,11,11,3,3.0
110714,12,12,61,61.0
110714,13,13,270,268.0
110714,17,17,30,30.0
110714,18,18,3,3.0
110714,21,21,4,4.0
110714,22,22,11,11.0
110714,23,23,1,1.0
110714,24,24,15,15.0
110714,25,25,1,1.0
110714,26,26,28,28.0
110714,27,27,4,4.0
110714,28,28,17,17.0
110714,29,29,11,11.0
110714,31,31,1,1.0
110714,32,32,8,8.0
110714,34,34,2,2.0
110714,36,36,4,4.0
110714,37,37,5,5.0
110714,39,39,7,7.0
110714,40,40,1,1.0
110714,41,41,1,1.0
110714,42,42,4,4.0
110714,45,45,8,8.0
110714,47,47,15,15.0
110714,48,48,23,23.0
110714,51,51,3,3.0
110714,55,55,3,3.0
110714,58,999,576,415.0
110714,72,72,4,4.0
110714,89,999,4,4.0
110714,90,90,12,12.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,5,5,46,45.0
110714,5,5,25,25.0
